timestamp,topic,lag
2026-05-05 13:04:52.197000+00:00,orders.placed,274689.0
2026-05-05 13:05:02.197000+00:00,orders.placed,292581.0
2026-05-05 13:05:12.197000+00:00,orders.placed,313287.0
2026-05-05 13:05:22.197000+00:00,orders.placed,333238.0
2026-05-05 13:05:32.197000+00:00,orders.placed,355880.0
2026-05-05 13:05:42.197000+00:00,orders.placed,373044.0
2026-05-05 13:05:52.197000+00:00,orders.placed,374556.0
2026-05-05 13:06:02.197000+00:00,orders.placed,374921.0
2026-05-05 13:06:12.197000+00:00,orders.placed,375265.0
2026-05-05 13:06:22.197000+00:00,orders.placed,375200.0
2026-05-05 13:06:32.197000+00:00,orders.placed,373930.0
2026-05-05 13:06:42.197000+00:00,orders.placed,372770.0
2026-05-05 13:06:52.197000+00:00,orders.placed,373709.0
2026-05-05 13:07:02.197000+00:00,orders.placed,375879.0
2026-05-05 13:07:12.197000+00:00,orders.placed,377959.0
2026-05-05 13:07:22.197000+00:00,orders.placed,380108.0
2026-05-05 13:07:32.197000+00:00,orders.placed,382221.0
2026-05-05 13:07:42.197000+00:00,orders.placed,384322.0
2026-05-05 13:07:52.197000+00:00,orders.placed,386418.0
2026-05-05 13:08:02.197000+00:00,orders.placed,387451.0
2026-05-05 13:08:12.197000+00:00,orders.placed,386388.0
2026-05-05 13:08:22.197000+00:00,orders.placed,385035.0
2026-05-05 13:08:32.197000+00:00,orders.placed,384284.0
2026-05-05 13:08:42.197000+00:00,orders.placed,385304.0
2026-05-05 13:08:52.197000+00:00,orders.placed,388082.0
2026-05-05 13:09:02.197000+00:00,orders.placed,391091.0
2026-05-05 13:09:12.197000+00:00,orders.placed,395050.0
2026-05-05 13:09:22.197000+00:00,orders.placed,398937.0
2026-05-05 13:09:32.197000+00:00,orders.placed,402815.0
2026-05-05 13:09:42.197000+00:00,orders.placed,406636.0
2026-05-05 13:09:52.197000+00:00,orders.placed,410516.0
2026-05-05 13:10:02.197000+00:00,orders.placed,414394.0
2026-05-05 13:10:12.197000+00:00,orders.placed,418241.0
2026-05-05 13:10:22.197000+00:00,orders.placed,422211.0
2026-05-05 13:10:32.197000+00:00,orders.placed,426046.0
2026-05-05 13:10:42.197000+00:00,orders.placed,429947.0
2026-05-05 13:10:52.197000+00:00,orders.placed,433772.0
2026-05-05 13:11:02.197000+00:00,orders.placed,436978.0
2026-05-05 13:11:12.197000+00:00,orders.placed,438463.0
2026-05-05 13:11:22.197000+00:00,orders.placed,438233.0
2026-05-05 13:11:32.197000+00:00,orders.placed,436888.0
2026-05-05 13:11:42.197000+00:00,orders.placed,435565.0
2026-05-05 13:11:52.197000+00:00,orders.placed,434935.0
2026-05-05 13:12:02.197000+00:00,orders.placed,435519.0
2026-05-05 13:13:02.197000+00:00,orders.placed,437639.0
2026-05-05 13:13:12.197000+00:00,orders.placed,439923.0
2026-05-05 13:13:22.197000+00:00,orders.placed,442174.0
2026-05-05 13:13:32.197000+00:00,orders.placed,444364.0
2026-05-05 13:13:42.197000+00:00,orders.placed,446502.0
2026-05-05 13:13:52.197000+00:00,orders.placed,448622.0
2026-05-05 13:14:02.197000+00:00,orders.placed,450745.0
2026-05-05 13:14:12.197000+00:00,orders.placed,452881.0
2026-05-05 13:14:22.197000+00:00,orders.placed,454191.0
2026-05-05 13:14:32.197000+00:00,orders.placed,454358.0
2026-05-05 13:14:42.197000+00:00,orders.placed,453357.0
2026-05-05 13:14:52.197000+00:00,orders.placed,452004.0
2026-05-05 13:15:02.197000+00:00,orders.placed,450761.0
2026-05-05 13:15:12.197000+00:00,orders.placed,449439.0
2026-05-05 13:15:22.197000+00:00,orders.placed,448116.0
2026-05-05 13:15:32.197000+00:00,orders.placed,446759.0
2026-05-05 13:15:42.197000+00:00,orders.placed,445512.0
2026-05-05 13:15:52.197000+00:00,orders.placed,444206.0
2026-05-05 13:16:02.197000+00:00,orders.placed,442872.0
2026-05-05 13:16:12.197000+00:00,orders.placed,441519.0
2026-05-05 13:16:22.197000+00:00,orders.placed,440248.0
2026-05-05 13:16:32.197000+00:00,orders.placed,438988.0
2026-05-05 13:16:42.197000+00:00,orders.placed,437790.0
2026-05-05 13:16:52.197000+00:00,orders.placed,436478.0
2026-05-05 13:17:02.197000+00:00,orders.placed,435310.0
2026-05-05 13:17:12.197000+00:00,orders.placed,434008.0
2026-05-05 13:17:22.197000+00:00,orders.placed,432786.0
2026-05-05 13:17:32.197000+00:00,orders.placed,431498.0
2026-05-05 13:17:42.197000+00:00,orders.placed,430309.0
2026-05-05 13:17:52.197000+00:00,orders.placed,429017.0
2026-05-05 13:18:02.197000+00:00,orders.placed,427699.0
2026-05-05 13:18:12.197000+00:00,orders.placed,426399.0
2026-05-05 13:18:22.197000+00:00,orders.placed,425062.0
2026-05-05 13:18:32.197000+00:00,orders.placed,423738.0
2026-05-05 13:18:42.197000+00:00,orders.placed,422355.0
2026-05-05 13:18:52.197000+00:00,orders.placed,421012.0
2026-05-05 13:19:02.197000+00:00,orders.placed,419629.0
2026-05-05 13:19:12.197000+00:00,orders.placed,418276.0
2026-05-05 13:19:22.197000+00:00,orders.placed,416893.0
2026-05-05 13:19:32.197000+00:00,orders.placed,415559.0
2026-05-05 13:19:42.197000+00:00,orders.placed,414244.0
2026-05-05 13:19:52.197000+00:00,orders.placed,412904.0
2026-05-05 13:20:02.197000+00:00,orders.placed,411522.0
2026-05-05 13:20:12.197000+00:00,orders.placed,410138.0
2026-05-05 13:20:22.197000+00:00,orders.placed,408792.0
2026-05-05 13:20:32.197000+00:00,orders.placed,407447.0
2026-05-05 13:20:42.197000+00:00,orders.placed,406085.0
2026-05-05 13:20:52.197000+00:00,orders.placed,404697.0
2026-05-05 13:21:02.197000+00:00,orders.placed,403348.0
2026-05-05 13:21:12.197000+00:00,orders.placed,401993.0
2026-05-05 13:21:22.197000+00:00,orders.placed,400644.0
2026-05-05 13:21:32.197000+00:00,orders.placed,399370.0
2026-05-05 13:21:42.197000+00:00,orders.placed,398087.0
2026-05-05 13:21:52.197000+00:00,orders.placed,396800.0
2026-05-05 13:22:02.197000+00:00,orders.placed,395514.0
2026-05-05 13:22:12.197000+00:00,orders.placed,394192.0
2026-05-05 13:22:22.197000+00:00,orders.placed,392867.0
2026-05-05 13:22:32.197000+00:00,orders.placed,391592.0
2026-05-05 13:22:42.197000+00:00,orders.placed,390371.0
2026-05-05 13:22:52.197000+00:00,orders.placed,389438.0
2026-05-05 13:23:02.197000+00:00,orders.placed,388132.0
2026-05-05 13:23:12.197000+00:00,orders.placed,386809.0
2026-05-05 13:23:22.197000+00:00,orders.placed,385474.0
2026-05-05 13:23:32.197000+00:00,orders.placed,384239.0
2026-05-05 13:23:42.197000+00:00,orders.placed,382895.0
2026-05-05 13:23:52.197000+00:00,orders.placed,381551.0
2026-05-05 13:24:02.197000+00:00,orders.placed,380243.0
2026-05-05 13:24:12.197000+00:00,orders.placed,378921.0
2026-05-05 13:24:22.197000+00:00,orders.placed,377599.0
2026-05-05 13:24:32.197000+00:00,orders.placed,376246.0
2026-05-05 13:24:42.197000+00:00,orders.placed,374936.0
2026-05-05 13:24:52.197000+00:00,orders.placed,373594.0
2026-05-05 13:25:02.197000+00:00,orders.placed,372236.0
2026-05-05 13:25:12.197000+00:00,orders.placed,370849.0
2026-05-05 13:25:22.197000+00:00,orders.placed,369514.0
2026-05-05 13:25:32.197000+00:00,orders.placed,368188.0
2026-05-05 13:25:42.197000+00:00,orders.placed,366832.0
2026-05-05 13:25:52.197000+00:00,orders.placed,365548.0
