timestamp,topic,lag
2026-05-05 13:07:12.197000+00:00,orders.placed,398887.0
2026-05-05 13:07:22.197000+00:00,orders.placed,401612.0
2026-05-05 13:07:32.197000+00:00,orders.placed,404293.0
2026-05-05 13:07:42.197000+00:00,orders.placed,406939.0
2026-05-05 13:07:52.197000+00:00,orders.placed,409608.0
2026-05-05 13:08:02.197000+00:00,orders.placed,411204.0
2026-05-05 13:08:12.197000+00:00,orders.placed,410692.0
2026-05-05 13:08:22.197000+00:00,orders.placed,409866.0
2026-05-05 13:08:32.197000+00:00,orders.placed,409673.0
2026-05-05 13:08:42.197000+00:00,orders.placed,411251.0
2026-05-05 13:08:52.197000+00:00,orders.placed,414563.0
2026-05-05 13:09:02.197000+00:00,orders.placed,417695.0
2026-05-05 13:09:12.197000+00:00,orders.placed,422018.0
2026-05-05 13:09:22.197000+00:00,orders.placed,426470.0
2026-05-05 13:09:32.197000+00:00,orders.placed,430889.0
2026-05-05 13:09:42.197000+00:00,orders.placed,435264.0
2026-05-05 13:09:52.197000+00:00,orders.placed,439685.0
2026-05-05 13:10:02.197000+00:00,orders.placed,444122.0
2026-05-05 13:10:12.197000+00:00,orders.placed,448522.0
2026-05-05 13:10:22.197000+00:00,orders.placed,453036.0
2026-05-05 13:10:32.197000+00:00,orders.placed,457437.0
2026-05-05 13:10:42.197000+00:00,orders.placed,461890.0
2026-05-05 13:10:52.197000+00:00,orders.placed,466231.0
2026-05-05 13:11:02.197000+00:00,orders.placed,469808.0
2026-05-05 13:11:12.197000+00:00,orders.placed,471823.0
2026-05-05 13:11:22.197000+00:00,orders.placed,472145.0
2026-05-05 13:11:32.197000+00:00,orders.placed,471328.0
2026-05-05 13:11:42.197000+00:00,orders.placed,470519.0
2026-05-05 13:11:52.197000+00:00,orders.placed,470486.0
2026-05-05 13:12:02.197000+00:00,orders.placed,471639.0
2026-05-05 13:13:02.197000+00:00,orders.placed,474499.0
2026-05-05 13:13:12.197000+00:00,orders.placed,478019.0
2026-05-05 13:13:22.197000+00:00,orders.placed,481539.0
2026-05-05 13:13:32.197000+00:00,orders.placed,484379.0
2026-05-05 13:13:42.197000+00:00,orders.placed,487033.0
2026-05-05 13:13:52.197000+00:00,orders.placed,489710.0
2026-05-05 13:14:02.197000+00:00,orders.placed,492387.0
2026-05-05 13:14:12.197000+00:00,orders.placed,495065.0
2026-05-05 13:14:22.197000+00:00,orders.placed,496950.0
2026-05-05 13:14:32.197000+00:00,orders.placed,497669.0
2026-05-05 13:14:42.197000+00:00,orders.placed,497234.0
2026-05-05 13:14:52.197000+00:00,orders.placed,496401.0
2026-05-05 13:15:02.197000+00:00,orders.placed,495607.0
2026-05-05 13:15:12.197000+00:00,orders.placed,494795.0
2026-05-05 13:15:22.197000+00:00,orders.placed,493976.0
2026-05-05 13:15:32.197000+00:00,orders.placed,493147.0
2026-05-05 13:15:42.197000+00:00,orders.placed,492359.0
2026-05-05 13:15:52.197000+00:00,orders.placed,491543.0
2026-05-05 13:16:02.197000+00:00,orders.placed,490723.0
2026-05-05 13:16:12.197000+00:00,orders.placed,489898.0
